,restaurant_name,avg_rating,rating,text,relative_time_description,author_name
10,The Golden Chimp,4.4,5.0,"Lovely dumplings! My favourite was the king crab. Every dish has just four pieces, but after a while they are actually surprisingly filling. We didn't have a reservation, but even though they were fully booked, they were able to seat us by a table next to the kitchen, which turned out to be really cozy. Tip: get a side dish (like the kimchi) so you have something to nibble on while waiting for the dumplings. A little pricey, but the quality makes it worth it. The only disappointment was the dessert in my opinion, but that's not enough to deduct a star.",a year ago,Lasse Røvik
11,The Golden Chimp,4.4,4.0,"Most of the food were really good especially the kimchi.
Attentive waiters and they interact with us very well. Sakes is a must. Wines doesn't really match the food. Dessert nothing special. Hoping they will get comfy chairs & tables.",a year ago,Cindy Laserna
12,The Golden Chimp,4.4,3.0,"I had a special autumn 5 dish course. Their dim sum was really good, not authentic but more fusional in a great way!
Korean fried chicken didn't have that spicy/sweet taste at all. I was a little disappointed.
Their dessert, apple pie dumpling wasn't so impressive. But my partner liked it.

Conclusion: Some dishes were really good. Therfore I want to come back again and try a la carte next time!",3 months ago,Ryo M
13,The Golden Chimp,4.4,4.0,"Nice place to have a nice dinner!
Definitely recommended.

A bit more expensive than average but can do.",2 weeks ago,Laura Curcio
14,The Golden Chimp,4.4,2.0,"As a brief review, this experience was mediocre. We purchased the tasting menu and wine package, which ended up being around 3600kr for two people. Paying this price, I would expect all of the food to be not only tasty, but at the very very least well cooked. Unfortunately, some of the dumplings were doughy and chewy, and just not properly cooked. The fried dumpling topped with chanterelles was very underdone on the inside, and the chanterelles themselves were soft and mushy. The soup dumpling had tough dough on the outside and a sticky, underdone layer on the inside. I admit that everything did taste quite good, but the overall composition and preparation was not great, and certainly not worth the money. Aside from this, the server seemed to have a had time explaining the food and the wine, which is fine if they are just new to the job, but they weren't even able to tell us the country the wine was from. Unfortunately, I won't be returning here.",a year ago,Sharon
15,Rorbua Aker Brygge,4.3,5.0,"We had a lovely meal on the last day of holiday in Norway. The menu has a nice variety of traditional dishes and I think there are enough options to please everyone.
Salmon was delicious. Everything looked really tasty.
Efficient service. Kids friendly.
Great beer too.",7 months ago,Dulce M
16,Rorbua Aker Brygge,4.3,5.0,This place is perfect if you want to try traditional Norwegian food for a reasonable price. Their prices are very low compared to other restaurants in the area and the food is simply delicious. The waiters were nice and attentive. They have a very nice outdoor seating area. Highly recommended.,3 months ago,melanie
17,Rorbua Aker Brygge,4.3,5.0,"Typical Norwegian food restaurant.
Place where to try whale, elk, deer steaks and skewers.
Meals ordered:
- grilled Reindeer steak with potatoes, jam and vegetables. Really tasty and juicy
- whale fried steak with potatoes, jam and vegetables. The whale meat was very soft, with a slight taste of liver.

Perfect service, pleasant atmosphere. Located next to the touristic harbour.",3 months ago,Andrea Curzi
18,Rorbua Aker Brygge,4.3,5.0,The fish soup is creamy. Actually it is more like lobster soup than fish soup which makes it even more tasty. Recommend. Mixed meat is good too. The Boknafisk is Norwegian which is not always available on menus so we tried it here. It actually is half-dried cod which has quite a unique smoky taste. Not bad but I like fresh cod more.,6 months ago,Siu Shan Tam
19,Rorbua Aker Brygge,4.3,5.0,"Ate here on our first night in town to try some local dishes. The taste of Norway looked small when we got it but my husband was full by the time he finished eating it. Not many places had the option to try whale, this was a good way to taste it but not potentially waste a whole entree if you did not like it. I got the reindeer steak which was delicious and perfectly cooked. Staff was friendly, decor was interesting, and location was good. Would eat there again.",3 months ago,Rachael M
20,Flamme Burger Frogner,3.7,5.0,Great service! Would strongly recommend. Perfect for ordering in the app if you're on the go,a month ago,Martin Bjelland
21,Flamme Burger Frogner,3.7,1.0,"Ordered for me and the family 3 burger take away arrived home there were only 2 waited over 30 minutes went to the store again waiting again not even an apology, ordering through the app is very bad, burger was called, paid over 700 enough for 2 burger with fries and a children's menu it's ridiculous, prefer to go to bastardo much better and then you don't and you go times to the shop and tips called food, very bad experience",a month ago,crazy guy
22,Flamme Burger Frogner,3.7,5.0,Best burger I've ever eaten. Super juicy and tasty. Heavenly.,in the last week,Eirik Utstumo
23,Flamme Burger Frogner,3.7,1.0,Don't go here,a month ago,are knudsen
24,Espresso House Linderud Senter,3.4,5.0,Good caffe and costumer service,a year ago,Adrian Hewa
25,Espresso House Linderud Senter,3.4,5.0,Nice and helpful staff,a year ago,Tom Lantz
26,Espresso House Linderud Senter,3.4,1.0,"The people who work there have a poor service attitude, poor selection of food (nothing gluten-free) and incredibly dirty and messy. Don't try to order ""too good to go"" either. We ordered, paid and met precisely at the pick-up time, but were told that the order was cancelled, - without notification, without explanation and it still said in the app that there were 5 available bags to pick up. It was incredibly disappointing for the 12-year-old who had enjoyed himself all day and left at 20:30 in the evening, only to have to return home empty-handed.",4 months ago,julie ao
27,Espresso House Linderud Senter,3.4,1.0,She who works behind the counter should perhaps learn to smile a little and not try to learn how the coffee should taste when the customer thinks it doesn't taste good enough! It's not the first time people drink coffee when they come to Espresso House for a cup! Espresso House Linderud lost a regular today!!,in the last week,Ozan Arikan
28,Espresso House Linderud Senter,3.4,1.0,"Saturday 19:. Cups/plates on many tables, food crumbs on the table and floor. Glass counter unappetizing. The husband of lazy, young ladies. Actually happens a little too often. Hand sanitizer out of stock for the second day. This is not nice.",6 months ago,Ingjerd Andresen
29,Cafe Stamboul AS,4.1,4.0,"Good food for the value of the price. I expected more traditional food than they served from the menu. The place is cozy in the heart of Grünerløkka, Oslo. I enjoyed the delicious food and drink just for a smaller amount of money.",4 years ago,Efrem Sado
30,Cafe Stamboul AS,4.1,3.0,"Cosy place, just had coffee, would like to come back another day.",5 years ago,PerMagnus Lindborg
31,Cafe Stamboul AS,4.1,5.0,simply delicious,3 months ago,parnian bakhshaei
32,Cafe Stamboul AS,4.1,5.0,"Fantastic, authentic food, great size portion for value of money, recommended!",4 years ago,Infael's Purgatory
33,Cafe Stamboul AS,4.1,1.0,"90%og the people that drinks there is addicts of alcohol,and the food is horrible",2 years ago,john hystad
34,Grezzo,4.3,5.0,"Cozy and tasty! Nothing is boring here:
Beers are absolutely 10/10, coming from the sister brewery Beer Flag, you can find a good ale or some good special ones. The alcohol free beverage is not the usual, it ensures a great taste and high quality!
Food: 10/10 traditional Italian, good and full of taste, a total gem in Oslo! The concept is close to the ""osteria"", generous portions, full of taste and high quality ingredients!
Service: 10/10! Everyone is smiling, very gentle and friendly! They also take very care of the new rules, that makes feel safe.
I would suggest the place for cozy dinners, quick aperitivo with a nice beer and good friends. Lovely for a date for food lovers.
We don't need anymore to travel to Italy to have a great food experience!",a year ago,e.dessi 2
35,Grezzo,4.3,5.0,"Italian restaurant with a Norwegian atmosphere!
Amazing food and local beers in this new brand restaurant! Do not miss the occasion to go to Grezzo. Friendly stuff, perfect service and wonderful food 😍
Highly recommend it 😊",a year ago,Muhammad Abdelhamid
36,Grezzo,4.3,5.0,"What a new entry in Oslo sentrum!!! Are you looking for fine dining, great artisanal beers and an unique atmosphere? You must visit Grezzo.
A small casina in the middle of the city where at the ground floor you can find delicious Italian snacks and beers. While at the upper floor, there is a new world of fine dining. Eugenia, the owner, is the Brewer master with a special attitude to great food. The chefs are coming for Michelin star restaurants and they are full of amazing ideas!
A place to visit!",a year ago,Carmen Cavallo
37,Grezzo,4.3,5.0,"We love the passion that goes into each dish! The zucchini flavour combination is amazing. One of the best restaurant experience in Oslo, the vibe, the service, the food and the wine- 14.5/10!",6 months ago,Martin Kivi
38,Grezzo,4.3,5.0,"Chanced upon this cosy restaurant & were pleasantly surprised by the food & service. We can taste the passion that goes into each exquisite dish. The service from the pretty server was excellent and she is very knowledgeable of the dishes & liquor.
We totally enjoyed all the dishes, from starters to dessert & we love the personalised service !",5 months ago,Belinda Chua
39,Baker Nordby,4.1,4.0,"Good choice of cakes, pastry, sandwiches and bread. Coffee and drinks. Sits available, both chairs and tables. It is located inside the local shopping center and just one minute from Grorud t bane/metro station and bus stop.
Not too busy. But popular due to the tasty options and friendly people.
This place also participates in ''too good to go'' and is relativy nice one to consider providing quick pick up and good amount of tasty food.",a year ago,Valentyn Oksenych
40,Baker Nordby,4.1,3.0,Ok,a year ago,allan christensen
41,Baker Nordby,4.1,2.0,"They need training in hygiene. The Norwegian woman used the inside of the litter box to break boiled eggs. The garbage bag was dirty/not new either. She could use the bench to open the shell of the egg.
The other employee didn't say anything about it. They should really change their routines because you shouldn't eat here.
Other than that, they seem nice",4 months ago,A B
42,Baker Nordby,4.1,5.0,The employees are incredibly service minded. Coffee card and delivery at the table is a matter of course (when you ask)👯‍♀️. Divides cakes ++++. Take care of these girls!,3 years ago,Gunnar Hatlen
43,Baker Nordby,4.1,5.0,"The nice girls behind the counter and fresh food and coffee, here you get everything in one place. Recommends everyone to take a short trip here.
Regards, local broker!",2 years ago,Ramin Oddin
44,"Åpent Bakeri Drift AS, avd Blings",4.5,5.0,"Great bread, coffee and sandwiches.",2 years ago,Aqua Flym
45,"Åpent Bakeri Drift AS, avd Blings",4.5,2.0,Such a shame Blings is no more,2 years ago,Alex S
46,"Åpent Bakeri Drift AS, avd Blings",4.5,2.0,Just stopped by to buy bread for breakfast. Very disappointed when I walked a long way and when I got home the bread was completely raw! The cinnamon roll I bought was extremely dry…disappointing,a month ago,Anne-Marte Hvalsbråten
47,"Åpent Bakeri Drift AS, avd Blings",4.5,5.0,"A bakery that few tourists come to. If you want to eat good pastries off the usual tourist routes of cruise ships, you should stop by here. Attention, at lunchtime the bakery is sometimes full of people from the surrounding offices. The cinnamon rolls and croissants are delicious!",5 months ago,Philipp Hagedorn
48,"Åpent Bakeri Drift AS, avd Blings",4.5,5.0,"Cozy bakery. Everything I have tasted here is virtually good. Love the chocolate scones, cinnamon buns, salads and sandwiches. The last one I ate was chicken & herbs which were yummy.",7 months ago,Thao Luu
49,Voksenåsen Hotell,4.1,5.0,"Fantastic location, food and service! Would rather recommend this hotel over any other hotel in Oslo",4 months ago,Petter K
50,Voksenåsen Hotell,4.1,4.0,"Brilliant hotel for outdoor activities, business gatherings, celebrations, or whatever you have in mind",2 months ago,Terje Eiken
51,Voksenåsen Hotell,4.1,5.0,"Very nice hotel, excellent breakfast buffet - plenty of choices. The room was very clean. The staff was polite and helpful.",8 months ago,Odile Lawen
52,Voksenåsen Hotell,4.1,4.0,"Amazing view over the city Oslo!
Quiet area, in nature and close to the city.",8 months ago,Vakantie Ganger
53,Voksenåsen Hotell,4.1,5.0,Rooms are a bit small due to the age of the building though fully up to date. And nothing beats waking up with the sun over Oslo.,10 months ago,Samuel van Riesen
54,Voksenåsen Hotell,4.1,5.0,"Fantastic location, food and service! Would rather recommend this hotel over any other hotel in Oslo",4 months ago,Petter K
55,Voksenåsen Hotell,4.1,4.0,"Brilliant hotel for outdoor activities, business gatherings, celebrations, or whatever you have in mind",2 months ago,Terje Eiken
56,Voksenåsen Hotell,4.1,5.0,"Very nice hotel, excellent breakfast buffet - plenty of choices. The room was very clean. The staff was polite and helpful.",8 months ago,Odile Lawen
57,Voksenåsen Hotell,4.1,4.0,"Amazing view over the city Oslo!
Quiet area, in nature and close to the city.",8 months ago,Vakantie Ganger
58,Voksenåsen Hotell,4.1,5.0,Rooms are a bit small due to the age of the building though fully up to date. And nothing beats waking up with the sun over Oslo.,10 months ago,Samuel van Riesen
59,Hapag Sushi & Asian Dining,4.6,5.0,"After a quick dip in the sea, we're looking for a place to warm up and have a drink. Easily convinced by the menu and great service, we ended up with some sushi and a bottle of wine. Let's be honest: We'll be back, and the Truffel & Hamachi is to die for!",a year ago,Jørgen Åstrøm
60,Hapag Sushi & Asian Dining,4.6,5.0,Hapag is leagues above any other sushi place in the Asker area.  Try it and you will never go anywhere else again. Much kudos to the amazing chefs there. Great work!!,4 weeks ago,S Powell
61,Hapag Sushi & Asian Dining,4.6,5.0,"Good food and great service, loved it! You can watch the chef at work which is very fun.",6 months ago,Lieke V
62,Hapag Sushi & Asian Dining,4.6,5.0,"Cozy place with friendly staff. The food is literally amazing! We couldn't stop eating 😅
Definitely worth visiting!",5 months ago,Julia Rozdżestwieńska
63,Hapag Sushi & Asian Dining,4.6,1.0,"Burnt My food, and told me thats how they make it. Was told to Get a refund so ill update on that. Overcooked, burnt and the avocado was Also brown. Which is supposed to be green",5 months ago,gomi soom
64,Troys Burger Grünerløkka,4.0,5.0,"Best burgers on the planet. The only thing as good is the exceptional service from the staff there. Anka and Carmen were outstanding. Professional, fast and service with a smile. Going back for more yummy burgers and a 10 out of 10 experience again for sure 🥳",in the last week,Govi Tyler
65,Troys Burger Grünerløkka,4.0,4.0,"Burger 3.7/5
Fries 3/5
Service 3.5/5
Beer 5/5 (6,9%)
Vibe 4/5",3 months ago,Dziugas Zukauskas
66,Troys Burger Grünerløkka,4.0,1.0,"I ordered the “Troy’s Menu” from Foodora, and the burger tasted like… cigarettes? This was a huge disappointment, I’ve had really great burgers here before but this was almost inedible. I think something must have gone wrong specifically with my burger, because there was a very distinct ashy taste that can’t have been meant to be there and that I didn’t experience the last time I ate here.",a year ago,Emil Vestre
67,Troys Burger Grünerløkka,4.0,5.0,"Ordered Truffle Burger and parmesan fries. Hands down the best burger in Oslo. Top quality, amazing flavour, and a generous portion of excellent fries. A big plus is offering Beyond Meat as an alternative on all the burgers. Very friendly and helpful staff as well. I'll be back 👍",2 years ago,L. Arkhain
68,Troys Burger Grünerløkka,4.0,5.0,"One of the best & most underrated burger places in Oslo! I’ve been coming back for Troys whenever I hit a craving, truly hits the spot with their truffle burger!",a year ago,Ash Dee
69,Lille Saigon,4.0,5.0,"The right and authentic vietnamese experience in town. the place could look a bit basic look wise, but that just reinforce the authenticity of this Vietnamese canteen.
Food is really really good, with a lot of options for all.
Pricing is ok for Oslo, definitely do the job.",6 months ago,Thomas Guggenbuhl
70,Lille Saigon,4.0,2.0,I recently moved to Oslo for work and I tried a few vietnamese restaurants in town. Since my friends told me about this place. I decided to give it a shot. It took almost half an hour since the moment I walked in and when the food was brought to my table. It wasn't even rush hour because I went there around 2pm... I ordered their pork ribs and shredded with rice. As you can see there was hardly any shredded pork on my plate. Not to mention the pork meat was overcooked therefore it was dry and chewy. The seasoning was fine though. Besides the rice was cheap rice not even basmati rice. Very disappointing experience at this place. For me it's way overpriced and I personally don't think about coming back anytime soon. As a result this place only deserves 2 stars in my opinion.,3 months ago,Paul Taek
71,Lille Saigon,4.0,4.0,"Pho for me was on the salty side as evidenced by the darker broth but I love the fact that they have several options of herbs to counter the saltiness of the broth.

I tried their fried spring rolls and I really enjoyed it.",6 months ago,Mark Gerald (Mark L.)
72,Lille Saigon,4.0,3.0,"Rice with pork chop was quite nice.
Pork was tasty, rice a little dry
Pho had a bland broth and didn’t have the pho aroma like star anise or cloves.
The Saigon beer was nice.",5 months ago,Stephen Lu
73,Lille Saigon,4.0,5.0,My fav place in Oslo. I've been having dinner there every time I visit the city for 7 years now. Nems are A MA ZING,5 months ago,Melarise
74,Roma Pizza Vinderen,4.3,5.0,"Good food, Excelleny hospitality, freindly staff, thanks 😊🍕🍿👍👍👍👍👍👍👍👍👍",4 months ago,Mohamed Ansari
75,Roma Pizza Vinderen,4.3,5.0,"Best shawarma in Oslo, my best recommendations!",5 months ago,Maksym Holiak (DileriumL)
76,Roma Pizza Vinderen,4.3,4.0,Its a fast food joint with very nice clientele and above average food - find your favorite over time and you will be a regular in no time.,11 months ago,Gunnar Øyvin Fredrikson
77,Roma Pizza Vinderen,4.3,5.0,"The best kebab I have ever tried.
Plus people are kind and generous. 👌🏼",a year ago,Hristina Krstic
78,Roma Pizza Vinderen,4.3,3.0,Nice staff the food quality is less than you expect but available all week days,a year ago,walaa aljassim
79,"Lindbak AS, avdeling Oslo",3.7,5.0,Good company with the nice working people.,5 years ago,Kaveh Darafshi
80,"Lindbak AS, avdeling Oslo",3.7,1.0,"Steer clear, never live what you see. Bad support and crappy software",6 years ago,Thomas Iversen
81,"Lindbak AS, avdeling Oslo",3.7,5.0,Best cash register system in Norway. All retail chains should use this.,5 years ago,Fredrik Lindahl
82,Girotondo,4.6,4.0,"3.5/5
Tomato sauce was too sweet, dough was too crispy and the ingredients tasted a but cheap. You should book a table and prepare to wait a bit. For a pizza in Oslo, this place is fine.",4 months ago,Richard Zhu
83,Girotondo,4.6,4.0,"Super nice place! Very cozy ambience and lovely italian food! Specially the pizzas were amazing.
The place is a bit small so reservation is key to get a seat. The waiters were all really friendly, they speak to you mixing italian and it gives a nice touch to the ambience.
Giving 4 stars as their service is a bit slow. We booked at 9 and got seated at 9.30 and had our pizzas at 10.

Something to take into account: The entrance can be a bit confusing. The first floor when you enter is a bar, and the Girotondo restaurant is in the second floor following the stairs.",a year ago,ejj (hayru)
84,Girotondo,4.6,4.0,"Very tasty pizza and nice atmosphere! The waiters are friendly. Service was surprisingly fast even in busy Friday.
Prices for norway is very ok.
If you want to eat at restaurant, definitely need to book in advance. I have to take one star off as their tables are very big and you have to share it with people you don’t know, that’s the only thing.
Highly recommend to visit this place and try their pizzas 🍕 baked in real oven ☺️",a year ago,Lauris P.
85,Girotondo,4.6,4.0,Delicious pizza and friendly and helpful staff. You do share a table with other people and they do tend to cram the tables a little. It’s quite noisy and bustling so quite difficult to talk.,5 months ago,Elaine Said
86,Girotondo,4.6,5.0,"Great place to taste amazing Italian pizza. Very friendly relaxed atmosphere and very friendly staff. The space is not too big, so it is necessary to make a reservation in advance. In any case, all the recommendations for visiting the restaurant.",9 months ago,amer hadziomerovic
87,butler Catering,5.0,5.0,Ordered Stor Tapas from Butleren and it tasted absolutely fantastic and all the guests were very satisfied.,8 years ago,Marius Lyngved
88,Linderudkollen Sports Living,4.3,5.0,"Cozy, charming place with nice cinnamon buns, squash cakes, waffles, soda, coca, and ice cream for the summer. Plenty of space both indoors and outdoors, with views toward either the lake or the nearby ski jump hill.",4 years ago,Vegard O.
89,Linderudkollen Sports Living,4.3,1.0,"The location and scenery is great. However, the staff is not friendly and it’s “only for customers” signs everywhere. It’s also not a child friendly placed. Not allowed to bring stroller inside (I came on a day with no rain and hence a “clean” stroller but I was told by the lady that worked there that she “didn’t like it”)",a year ago,Martin Schütt
90,Linderudkollen Sports Living,4.3,5.0,"After few kilometers with bike you need to beat the stairs but it's worth it. Amazing viev and the atmosphere of the place rewards the hardships. Free of charge.
For the lazy there is car parking right next to.",4 years ago,Yacoob79
91,Linderudkollen Sports Living,4.3,5.0,Great place where you can go for walk during summer.,9 months ago,Mahinda Løkke
92,Linderudkollen Sports Living,4.3,2.0,"Very nice location with ok selection of food and drinks. Scary that they are so obsessed with buying something for them; ""only for customers"" signs everywhere. Better focus on quality and good prices than makeing people feel uncomfortable.",6 years ago,Kostas Antypas
93,Meraki,4.5,4.0,"Have lived in Greece for 30 years, i have to say that the gyros was quite good. The flavor was almost ideal, but the quantity of the gyros was not par to the price.
Unfortunately not far away from the street food center there is a taverna that has better gyros than Meraki. If the quantity of the meat is equal to the price, then it would be something to reconsider coming.
Staff speaks Greek and feels very authentic.",2 weeks ago,Spyros Psarras
94,Meraki,4.5,5.0,Simple but delicious! 10/10 would eat again. Positioned in the super busy street food market though so finding a table can be difficult.,11 months ago,Ines Goossens
95,Meraki,4.5,5.0,"Very, very good 😊 a proper portion and delicious, nice service",3 months ago,Justyna Zalewska
96,Meraki,4.5,2.0,"149 kr for a gyros with the size of a 33 cl coke.. great taste, but way too small!",a year ago,Aron
97,Meraki,4.5,3.0,"Bought a gyros hoping to relive some of my favorite youth memory's from Crete, Samos, and Rhodos. It cost 135kr and the meat came from a preheated steel container. Maybe I could have forgiven them if the gyros was exceptionally good, but it wasn't. It was OK but to expensive compared to all the other foodstalls",3 years ago,Rune Molander Mjelde
98,Mats & Martin,4.1,5.0,"Splendid! Amazing food, amazing service and decent pricing. We loved everything here. Located close to the road, but the vegetation/biosphere is awesome.",6 months ago,Joachim Marthinsen Giæver
99,Mats & Martin,4.1,1.0,Sign says wait to be seated. No servicepersonnel and chefs behind counter talking to themselves. After some minutes waitress arrives and says free seating. Order a bottle of Sancerre. Waitress ask for me to point it out at the winelist. Another waitress comes with a bottle after a while. Bottle is opened. Dont know where. One of my guests order Pizza. Takes a very long time. Not impressed with anything except the amount on the bill. Not to recommended,3 years ago,Odd Engebretsen
100,Mats & Martin,4.1,5.0,Excellent service and outstanding food. You should try the chicken pasta. Great outdoor seating when the sun is out. Well worth a visit and we will definitely be back!,2 years ago,UHW
101,Mats & Martin,4.1,5.0,Great food and service 😊,a year ago,Rami Makhamreh
102,Mats & Martin,4.1,4.0,"Great experience, good service - quite a small menu with limited vegan/vegetarian options but otherwise stellar",2 years ago,Marie Veigaard
103,Maschmanns Matmarked,4.5,4.0,"What a place! Here, you will get thrilled for any type of food. The quality, the sense of chosing exceptional products is everywhere. Simply overwhelming. From traditional French, Italian cheese, fresh fruits from local farmers, meat, seafood, cheese and sausage counter as well as good pastries and bread. I love it, coffee is good and you enjoy pizzas made in front of you. Only negative, it's narrow and get crowded real fast.",a year ago,Vincent Banterla
104,Maschmanns Matmarked,4.5,4.0,"One of my favorite places in this area to buy ingredients and gift baskets. They have a great selection of goods , friendly and very helpful staff, but plus the market , they have an amazing kitchen also. Here is the season pizza with Italian sausage and golden chanterelle and two gift baskets I bought. I believe price of the goods in their market is the only con.",a year ago,Mash Raz
105,Maschmanns Matmarked,4.5,5.0,"The sourdough bread and plain cronut were definitely delicious. It’s a bit pricier than regular, but worth it.",a year ago,Ayçin
106,Maschmanns Matmarked,4.5,5.0,"Different choices of sandwiches and pizzas. Very friendly staff. Place is not too big, so atmosphere is very cozy. Have tasted pizzas here and was happy with choices. Sometimes have bought baguettes.",4 years ago,Marius Matonis
107,Maschmanns Matmarked,4.5,5.0,"A wide selection of A+ products. I also found that the customer service was exquisite, as they proved very responsible and generous.
Much recommended.",5 months ago,noah alveberg
108,St. Lars restaurant,4.4,4.0,"Came here because of very positive web reviews on its burgers… so expectations were very high! Burgers were good, they have only one version, so this is not the place for ‘choosy’ persons. Pls take care, they serve only 10 burgers per day to keep serving fresh buns and because it’s a steak house, not a burger joint. Staff very friendly and surprising cheese cake!",5 months ago,D. S. (Sactidd)
109,St. Lars restaurant,4.4,4.0,"We had the st.lars-menu, and it was delicious!! Tons of food though (had to get a doggy bag...)
Specially the lamb is very very good, and the wine-package is extremely recommendable. The staff is very friendly and we got good service, though they seemed quite stressed out at times",3 years ago,Harald Lindebrekke
110,St. Lars restaurant,4.4,1.0,Just visited the he place to check if it’s good to host a dinner party in the weekend . I was greeted rudely . Asked for the menu but the waiter refer me to the the menu written in the wall ( photo attached )! So Unprofessional indeed. I didn’t get a good feeling about the place and am sure a training need to take place for the waiters to understand how not to underestimate potential guests and treat people with more respect ! Do not recommend for sure,a year ago,AA H
111,St. Lars restaurant,4.4,5.0,"I was absolutely disgusted at how good the burger was. It was euphoric the way the crispy bacon, the perfectly aged cheddar, and delectable beef came together in my mouth. If you're ever in Oslo, having a burger here is a must!
The service was excellent. Friendly staff even hooked me up when they were fully-booked. I can not say enough about this place.",9 months ago,Darnell Barbour
112,St. Lars restaurant,4.4,3.0,"Went here for a bachelor party with a big group (reserved beforehand). Service was slow, which is understandable in light of it being a busy night and us being a big group. However they neglected to serve us the last wine of our wine pack, but still charged us for it. After I reached out over email about the issue they were being dismissive and claimed they gave us extra wine for the other courses, which was not true. Finally they apologized and agreed to pay us back for the missing wine, but no money ever arrived.

It’s a shame because the food is generally good here and the atmosphere is perfect for a boys night out.",6 months ago,Marius Maaland
113,Enoteca,4.3,5.0,"The best seafood pasta I’ve ever had in Oslo!! The atmosphere in the restaurant is amazing… super cozy—an elegant yet homy place. I see myself coming back 100 times…very, VERY genuine & fulfilling portion as well—both the food and the wine!!",a year ago,Kathy Chang
114,Enoteca,4.3,3.0,Small but comfy Italian restaurant. Sundays only reduced menu. Very good pizzas. But when you have only seven guests why do you seat them close to each other? A more thoughtful arrangement would give everybody some more privacy.,a week ago,Kon
115,Enoteca,4.3,4.0,"Perfect place for a casual wine and dine experience. The starter was amazing! The camambert with jam and toast was perfect. My main (scampi pasta) was lackluster and left me wanting more, but maybe I just didn't make a great choice, but overall I'd return and get something different - like the vegetarian lasagna. The place is quite cozy, waitresses were very fast and friendly and packed leftovers for me as well, how nice of them! You just have to order a table beforehand.",2 years ago,Solvita
116,Enoteca,4.3,4.0,"Incredibly welcoming staff, pizzas were great but a bit thin (for my taste). Lovely wines by the glass. Enjoyable dinner!",4 months ago,Christian Johansen
117,Enoteca,4.3,5.0,"Pastas and salads we've tried was splendid, and it's located in a lovely neighbour.",3 years ago,上官Gustav
